190	104	270.704
300	103	73.4381
377	118	20.211
377	118	74.5145
377	118	2.08532
377	118	15.0725
408	102	70.0388
483	135	28.8976
486	151	120.55
531	137	70.2425
531	137	17.4903
618	104	88.5976
629	104	121.988
644	137	0.453463
694	102	637.257
694	102	76.3973
717	134	150.532
717	134	169.854
758	134	178.55
832	119	188.033
837	153	126.619
1029	119	46.4167
1073	121	66.1511
1108	121	451.064
1201	121	379.343
1201	121	5.61822
1289	153	297.716
1289	153	44.0424
1289	153	33.4287
1439	152	383.618
1444	120	133.191
1444	120	41.5925
1450	121	460.058
1455	118	241.832
1455	118	57.0073
1505	150	167.626
1505	150	5.76271
1549	105	36.8531
1684	150	323.957
1686	120	311.484
1686	120	81.6428
1686	120	39.824
1701	137	52.6832
1752	151	127.659
1790	152	348.622
1790	152	126.628
1790	152	26.0059
1925	119	62.5017
1961	105	89.7201
1978	105	12.801
1989	105	42.6101
2043	137	31.3708
2048	102	264.464
2100	104	205.964
2100	104	92.6185
2100	104	13.1573
2138	150	308.456
2138	150	45.6798
2182	105	96.6185
2182	105	99.3855
2182	105	5.01792
2232	119	404.687
2232	119	29.9813
2235	105	3.82196
2235	105	2.69197
2235	105	0.124732
2235	105	0.0443614
2235	105	2.89303
2237	152	113.591
2237	152	44.0064
2295	119	280.775
2295	119	93.9439
2295	119	3.34781
2310	152	353.873
2332	136	120.309
2351	118	60.9419
2501	136	484.027
2545	136	151.824
2804	136	514.805
2804	136	47.168
2825	121	340.689
2825	121	74.6306
2965	151	259.626
3014	150	82.1731
3199	121	274.309
3199	121	6.88225
3247	118	109.976
3293	134	318.481
3293	134	12.5098
3326	103	177.062
3350	119	174.799
3350	119	64.4343
3522	136	60.7824
3522	136	22.9842
3659	151	188.5
3659	151	15.231
3694	151	406.913
3694	151	60.2937
3706	104	216.087
3711	135	100.253
3711	135	95.9968
3713	102	270.355
3727	119	315.816
3859	105	144.91
3871	151	22.5581
3885	137	175.991
3885	137	60.8456
3917	119	238.174
3917	119	47.976
3976	137	260.349
3976	137	9.58267
3977	121	374.272
3991	104	33.6714
4015	153	190.848
4015	153	19.2441
4016	103	335.582
4035	136	57.994
4035	136	47.3899
4045	121	75.5526
4050	151	568.185
4050	151	12.6976
4062	104	136.119
4062	104	80.9141
4082	102	357.845
4093	118	386.411
4093	118	84.1881
4096	152	639.809
4134	150	29.7769
4134	150	65.4488
4192	153	324.153
4250	134	2.38794
4250	134	1.56164
4250	134	7.39277
4256	151	0.882349
4269	118	72.5049
4269	118	8.16458
4306	121	344.635
4343	119	227.871
4388	136	423.982
4417	150	92.5485
4450	153	138.677
